Topic/Field,Journal,Link
Bio,Nature,https://www.nature.com/nature/research-articles
Bio,Nature Communications - Bio section,https://www.nature.com/subjects/health-sciences/ncomms
Bio,Nature Biomedical Engineering,https://www.nature.com/natbiomedeng/research-articles
Bio,Nature Genetics,https://www.nature.com/ng/research-articles
Bio,Nature Biotechnology,https://www.nature.com/nbt/research-articles
Bio,Nature Aging,https://www.nature.com/nataging/research-articles
Bio,Nature Cancer,https://www.nature.com/natcancer/research-articles
Bio,Nature Cardiovascular Research,https://www.nature.com/natcardiovascres/research-articles
Bio,Nature Cell Biology,https://www.nature.com/ncb/research-articles
Bio,Nature Medicine,https://www.nature.com/nm/research-articles
Bio,Nature Methods,https://www.nature.com/nmeth/research-articles
Bio,Nature Protocols,https://www.nature.com/nprot/research-articles
Bio,Nature Reviews Biomedical Engineering,https://www.nature.com/natrevbioeng/articles
Bio,Nature Reviews Cancer,https://www.nature.com/nrc/articles
Bio,Nature Reviews Cardiovascular,https://www.nature.com/nrcardio/articles
Bio,Nature Reviews Clinical Oncology,https://www.nature.com/nrclinonc/articles
Bio,Nature Reviews Genetics,https://www.nature.com/nrg/articles
Bio,Nature Reviews Medicine,https://www.nature.com/nrm/articles
Bio,Nature Structural and Molecular Biology,https://www.nature.com/nsmb/articles
Bio,Cell,https://www.cell.com/cell/current
Bio,Cancer Cell,https://www.cell.com/cancer-cell/current
Bio,Cell Chemical Biology,https://www.cell.com/cell-chemical-biology/current
Bio,Cell Genomics,https://www.cell.com/cell-genomics/current
Bio,Cell Host & Microbe,https://www.cell.com/cell-host-microbe/current
Bio,Cell Metabolism,https://www.cell.com/cell-metabolism/current
Bio,Cell Reports,https://www.cell.com/cell-reports/current
Bio,Cell Reports Medicine,https://www.cell.com/cell-reports-medicine/current
Bio,Cell Reports Methods,https://www.cell.com/cell-reports-methods/current
Bio,Cell Stem Cell,https://www.cell.com/cell-stem-cell/current
Bio,Cell Systems,https://www.cell.com/cell-systems/current
Bio,Current Biology,https://www.cell.com/current-biology/current
Bio,Developmental Cell,https://www.cell.com/developmental-cell/current
Bio,Immunity,https://www.cell.com/immunity/current
Bio,iScience,https://www.cell.com/iscience/current
Bio,Molecular Cell,https://www.cell.com/molecular-cell/current
Bio,Neuron,https://www.cell.com/neuron/current
Bio,STAR Protocols,https://www.cell.com/star-protocols/current
Bio,Science,https://www.science.org/journal/science/research
Bio,Science Advances,https://www.science.org/journal/sciadv/research
Bio,Science Immunology,https://www.science.org/journal/sciimmunol/research
Bio,Science Signaling,https://www.science.org/journal/signaling/research
Bio,Science Translational Medicine,https://www.science.org/journal/stm/research
Bio,BMC Bioinformatics,https://bmcbioinformatics.biomedcentral.com/articles
Bio,BMC Biology,https://bmcbiol.biomedcentral.com/articles
Bio,BMC Genomics,https://bmcgenomics.biomedcentral.com/articles
Bio,BMC Lipids,https://lipidworld.biomedcentral.com/articles
Bio,Genome Biology,https://genomebiology.biomedcentral.com/articles
Bio,Bioinformatics,https://academic.oup.com/bioinformatics/issue
Bio,NEJM,https://www.nejm.org/toc/nejm/medical-journal?role=menuitemquery=main_nav_lg
Bio,Nucleic Acids Research,https://academic.oup.com/nar/issue
Bio,Nucleic Acids Therapeutics,https://www.liebertpub.com/toc/nat/0/0
Bio,Development,https://journals.biologists.com/dev/issue
Bio,Stem Cells,https://stemcellsjournals.onlinelibrary.wiley.com/toc/15494918/current
Bio,Autophagy,https://www.tandfonline.com/toc/kaup20/current
Bio,AJHG,https://www.cell.com/ajhg/current
